question,subject,choices,answer,a,b,d,c,а,e,<|end|>,б,bb,ba,д,y,t,с,r,​,f,h,g,s,ch,none,n,i,be,bfd,not,this,cannot,unable,please,unknown,cc,cj,'a,aa,ab,com,bd,ai,­a,p,',w,­d,air,ci,ɑ,'b,opportunity,ad,ц,reg,د,2,à,x
In the same period there is a drought affecting the supply of pineapples and a discovery that may assist in the avoidance of cancer. How will this combination of events affect the equilibrium price and quantity of pineapples?Equilibrium Quantity,high_school_microeconomics,"['Increases         Decreases' 'Increases         Indeterminate'
 'Indeterminate         Increases' 'Decreases         Indeterminate']",1,3.7230924274468265e-06,0.0009110117402481917,0.999045233549237,4.002701578046186e-05,,2.9960953761114435e-09,4.890991250342478e-10,,,,,,,,,,4.0547741632994786e-10,7.116350278221047e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"With respect to the kinked demand curve, which of the following is NOT correct?",high_school_microeconomics,"['There is no price leader.'
 'There are relatively equal shares of the market.'
 'Price is greater than marginal costs.'
 'The demand curve is of one continuous function.']",3,1.8553915162821982e-07,2.2159491608647255e-08,0.9999997700405973,2.2159491608647255e-08,,7.433681288020468e-12,9.056077739710377e-11,,,,,,2.267144700936076e-12,,,,,,,1.0060393626049579e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suppose that there are only two goods: x and y. Which of the following is NOT correct?,high_school_microeconomics,"['One can have comparative advantage in producing both goods.'
 'One can have both an absolute advantage and a comparative advantage in producing x.'
 'One can have absolute advantage and no comparative advantage in producing x.'
 'One can have comparative advantage and no absolute advantage in producing x.']",0,0.9999999897466082,5.602796374439034e-09,2.061153599226015e-09,1.103256019918775e-09,1.4166087706894642e-09,,4.277787820792902e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7832472707318542e-11,,,,,,,,,,,,,,,,,,,,,8.966730390544722e-12
The total utility from sardines is maximized when they are purchased until,high_school_microeconomics,"['marginal utility is zero' 'marginal benefit equals marginal cost'
 'consumer surplus is zero' 'distributive efficiency is achieved']",0,0.9148990914717532,0.08509888599331887,5.924839092492045e-07,1.421295011970961e-06,,3.3095880162584377e-09,3.3095880162584377e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1368306257806705e-09,,,,,,,,,,,,,,,,,,,,
"Assume a firm hires labor for $15 each and sells its products for $3 each. If the MP of the 3rd worker is 10, which of the following statements would be the most true?",high_school_microeconomics,"['The firm should hire more labor so that the MRPL will increase.'
 'The firm should hire more labor so that the MRPL will decrease.'
 'The firm should hire less labor so that the MRPL will increase.'
 'The firm should hire less labor so that the MRPL will decrease.']",1,0.019514385464417923,0.9402559348280766,0.011836073089620024,0.028393288444781777,,2.876262711107748e-07,,,,,,,,,,,1.6226763835936787e-08,,,,,,1.4320068824185943e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The demand curve for labor is derived from,high_school_microeconomics,"['the market labor demand curve'
 'the demand curve for the output produced by labor'
 'the labor supply curve for the firm'
 'the equilibrium wage in the labor market']",1,4.1399375434551284e-08,0.999999957768764,4.058651954588172e-10,4.058651954588172e-10,,1.0060392366766602e-12,1.783247215292533e-11,1.291779950077966e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monopolistic competition is often characterized by,high_school_microeconomics,"['strong barriers to entry.'
 'a long-run price that exceeds average total cost.'
 'a price that exceeds average variable cost, causing excess capacity.'
 'many resources devoted to advertising.']",3,5.04336132977963e-07,3.927773752944418e-07,0.9999776575642565,2.1444918065950535e-05,,1.5893546753354542e-10,1.9171276864482867e-10,,,,,,3.331468381721473e-11,,,,,,,,,,2.020637715377304e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A student decides that, having already spent three hours studying for an exam, she should spend one more hour studying for the same exam. Which of the following is most likely true?",high_school_microeconomics,"['The marginal benefit of the fourth hour is certainly less than the marginal cost of the fourth hour.'
 'The marginal benefit of the fourth hour is at least as great as the marginal cost of the fourth hour.'
 'Without knowing the student’s opportunity cost of studying, we have no way of knowing whether or not her marginal benefits outweigh her marginal costs.'
 'The marginal cost of the third hour was likely greater than the marginal cost of the fourth hour.']",1,4.599055961074065e-10,0.9999998138912937,1.0261880931260469e-10,1.8553915975816815e-07,,2.5436659695052886e-13,5.109089675075443e-12,1.6586785689683118e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macroeconomics focuses on,high_school_microeconomics,"['government and its laws that affect commerce.'
 'individuals and their resource use.'
 'corporations and their production levels.'
 'the resource use of the entire nation.']",3,4.6911641256094335e-08,1.1253517720869232e-07,0.9999998285464945,1.186112041372816e-08,,9.54503513398996e-12,1.3176514561578128e-10,,,,1.5581841518392287e-12,,1.5581841518392287e-12,,,,,,,,,,1.1399918782625469e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is true?,high_school_microeconomics,"['Marginal Social Costs = Private Marginal Costs + Negative Externality.'
 'Marginal Social Costs = Private Marginal Costs + Subsidy.'
 'Marginal Social Benefits = Private Marginal Benefits + Tax.'
 'Tax = Positive Externality.']",0,0.9999999999823254,1.291780004759102e-12,9.357622968645355e-14,1.291780004759102e-12,1.225606744384432e-11,,2.73469829153494e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7786393426680035e-15,,,,,,,,,,,,,,,,,
Good X is exchanged in a competitive market. Which of the following is true if an excise tax is now imposed on the production of good X?,high_school_microeconomics,"['If the demand curve is perfectly elastic, the price rises by the amount of the tax.'
 ""The consumer's burden of the tax rises as the demand curve is more elastic.""
 'Consumer surplus rises as a result of the tax.'
 ""The consumer's burden of the tax rises as the demand curve is less elastic.""]",3,4.277787867299357e-11,2.789468091780182e-10,0.9999999996132133,5.492788348810821e-11,,1.7482341275887126e-13,9.545034919115154e-12,,,,3.701011677148149e-13,,4.420228101915936e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What could the government do to most effectively avoid a free rider problem?,high_school_microeconomics,"['Enact stricter antitrust legislation'
 'Provide more complete information about the relevant goods'
 'Supply public goods using tax dollars'
 'Tax those creating negative externalities']",2,9.357622968693727e-14,3.5114221133215576e-12,1.8795288165096682e-12,0.9999999999846386,,,3.2661313427363317e-13,,,,,,,9.545034922691248e-12,,,,,,4.658886145030486e-15,5.227125387607317e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In order to hire the least-cost combination of labor and capital, the firm must do which of the following?",high_school_microeconomics,"['Find the combination of labor and capital where the marginal product of labor is equal to the marginal product of capital.'
 'Find the combination of labor and capital where the ratio of the marginal product of labor to the marginal product of capital is equal to one.'
 'Find the combination of labor and capital where the marginal product of labor divided by the price of labor is equal to the marginal product of capital divided by the price of capital.'
 'Find the combination of labor and capital where the price of labor is equal to the price of capital.']",2,3.2661313426605566e-13,1.139991853000066e-12,2.940077739170249e-11,0.9999999999614941,,,1.9810087979720166e-13,,,,,,,7.433680672063386e-12,,,,,4.376618502700817e-15,,2.4937220532384936e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is a characteristic of monopolistic competition in the long run?,high_school_microeconomics,"['Strong barriers to entry.' 'Homogeneous products.'
 'Zero economic profits.' 'Minimum average total cost equals price.']",2,2.5946094960119166e-11,7.991959885978627e-11,6.69158608545243e-10,0.9999999991306292,,1.542811201845337e-13,3.5114221103117765e-12,,,,,,,9.056076981768811e-11,,,,,,1.2015425721284839e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A student eats 3 slices of pizza while studying for his Economics exam. The marginal utility of the first slice of pizza is 10 utils, the second slice is 7 utils, and the third slice is 3 utils. Which of the statements below holds true with the above data?",high_school_microeconomics,"['The student would not eat any more pizza.'
 'The marginal utility of the 4th slice of pizza will be 0.'
 'The student should have stopped eating pizza after 2 slices.'
 'The total utility this student received from eating pizza is 20 utils.']",3,2.6995760627957483e-07,4.691155089607005e-08,0.999998948907446,7.338208556040697e-07,,7.052866422051388e-11,3.160875435826204e-10,,,,5.1090793000843295e-12,,1.0815920963153998e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The United States is trading salmon to Peru in exchange for anchovies. If these nations are trading based upon relative opportunity costs, what must be the case?",high_school_microeconomics,"['The United States has comparative advantage in anchovy production, and Peru has comparative advantage in salmon production.'
 'The United States has comparative advantage in salmon production, and Peru has comparative advantage in anchovy production.'
 'The United States has absolute advantage in anchovy production, and Peru has absolute advantage in salmon production.'
 'The United States has absolute advantage in salmon production, and Peru has absolute advantage in anchovy production.']",1,1.3887943864597231e-11,0.9999999999784707,2.7346982915196493e-12,4.508755242175746e-12,,,3.701011678494926e-13,2.5185700547811615e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3426350718674253e-15,,,,,,,,
Which of the following is true about the relationship of the average total cost (ATC) curve and the marginal cost (MC) curve?,high_school_microeconomics,"['ATC and MC are always equal.' 'ATC and MC are never equal.'
 'The ATC curve intersects the MC curve at the minimum point of the MC curve.'
 'The MC curve intersects the ATC curve at the minimum point of the ATC curve.']",3,7.757741917511893e-14,4.1937956580495993e-13,0.9999999999222149,7.052879850557277e-11,,1.6261110444898852e-14,6.5602001676376575e-12,,,,1.7482341281335151e-13,,8.17659982456824e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements about a price ceiling is accurate?,high_school_microeconomics,"['An effective price ceiling must be at a price below the equilibrium price.'
 'A price ceiling will increase the quantity of the good supplied.'
 'A price ceiling will cause a shift in the demand curve for the good.'
 'A price ceiling will have no effect on the quantity of the good supplied.']",0,0.9999999999997596,2.2007019879747685e-15,3.592547237853861e-16,6.711761854004773e-16,1.5428112031914684e-13,,8.258073285553676e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1391327920471766e-17,,,,,,,,,,,,,,,,,,,,,
"In an oligopoly market, firms",high_school_microeconomics,"['cannot earn economic profits' 'are interdependent'
 'are not subject to antitrust legislation' 'are large in number']",1,1.225606744345285e-11,0.9999999999807896,2.413362771705884e-12,3.5114221131912483e-12,,,8.878265477991239e-13,1.3615261080178192e-13,,,,,,,,5.982128223451517e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
